Respuesta	Resposta	NCFS000	resposta
a	à	SPS00+DA0FS0	a+o
ultima	última	NCFS000	último
de	de	SPS00	de
1	1	Z	1
de	de	SPS00	de
abril	abril	NCMS000	abril
	.	Fp	.
Notavel	Notável	AQ0CS0	notável
he	é	VSIP3S0	ser
o	o	DA0MS0	o
o	o	DA0MS0	o
cansaso	cansaço	NCMS000	cansaço
e	e	CC	e
aflicsão	aflição	NCFS000	aflição
de	de	SPS00	de
animo	ânimo	NCMS000	ânimo
que	que	PR0CN000	que
tenho	tenho	VMIP1S0	ter
por	por	SPS00	por
não	não	RN	não
achar	achar	VMN0000	achar
modo	modo	NCMS000	modo
pa	para	SPS00	para
satisfazer	satisfazer	VMN0000	satisfazer
a	a	DA0FS0	o
vm	VM	NP00000	VM
sem	sem	SPS00	sem
perjudicar	prejudicar	VMN0000	prejudicar
.	.	Fp	.
porque	Porque	CS	porque
vm	VM	NP00000	VM
ou	ou	CC	ou
como	como	SPS00	como
asinte	acinte	NCMS000	acinte
faz	faz	VMIP3S0	fazer
que	que	CS	que
não	não	RN	não
sabe	sabe	VMIP3S0	saber
ou	ou	CC	ou
não	não	RN	não
quer	quer	VMIP3S0	querer
saber	saber	VMN0000	saber
e	e	CC	e
não	não	RN	não
quer	quer	VMIP3S0	querer
que	que	CS	que
lho	lho	PP3CSD00+PP3MSA00	lhe+o
diga	diga	VMSP0S0	dizer
,	,	Fc	,
e	e	CC	e
	,	Fc	,
so	só	RG	só
por	por	SPS00	por
se	se	P00CN000	se
não	não	RN	não
pareser	parecer	VMN0000	parecer
con	com	SPS00	com
os	os	DA0MP0	o
sors	senhores	NCMP000	senhor
santos	santos	AQ0MP0	santo
que	que	PR0CN000	que
se	se	P00CN000	se
justificão	justificam	VMIP3P0	justificar
consigo	consigo	SPS00+PP3CNO00	com+si
mesmo	mesmo	AQ0MS0	mesmo
	,	Fc	,
ouvera	houvera	VMIM0S0	haver
de	de	SPS00	de
mudar	mudar	VMN0000	mudar
de	de	SPS00	de
pareser	parecer	VMN0000	parecer
neste	neste	SPS00+DD0MS0	em+este
particular	particular	NCMS000	particular
	,	Fc	,
aos	aos	SPS00+DA0MP0	a+o
quais	quais	PR0CP000	qual
eu	eu	PP1CSN00	eu
respondi	respondi	VMIS1S0	responder
o	o	DA0MS0	o
mesmo	mesmo	AQ0MS0	mesmo
que	que	PR0CN000	que
ora	ora	RG	ora
digo	digo	VMIP1S0	dizer
a	a	SPS00	a
vm	VM	NP00000	VM
	,	Fc	,
e	e	CC	e
he	é	VSIP3S0	ser
que	que	CS	que
fasão	façam	VMSP3P0	fazer
o	o	DA0MS0	o
que	que	PR0CN000	que
quiser	quiser	VMSF0S0	querer
	,	Fc	,
contanto	contanto	RG	contanto
que	que	CS	que
me	me	PP1CS000	me
não	não	RN	não
perjudique	prejudique	VMSP0S0	prejudicar
	.	Fp	.
porque	Porque	CS	porque
	,	Fc	,
a	a	SPS00	a
me	me	PP1CS000	me
perjudicar	prejudicar	VMN0000	prejudicar
	,	Fc	,
he	é	VSIP3S0	ser
forsado	forçado	VMP00SM	forçar
espicular	especular	VMN0000	especular
o	o	DA0MS0	o
que	que	PR0CN000	que
fasen	fazem	VMIP3P0	fazer
	,	Fc	,
se	se	CS	se
he	é	VSIP3S0	ser
