mala	Mala	AQ0FS0	malo
mujer	mujer	NCFS000	mujer
	.	Fp	.
nunca	Nunca	RN	nunca
pense	pensé	VMIS1S0	pensar
q	que	CS	que
tubierades	tuviérades	VMSI2P0	tener
tan	tan	RC	tan
grande	grande	AQ0CS0	grande
atrebimiento	atrevimiento	NCMS000	atrevimiento
de	de	SPS00	de
osarme	osarme	VMN0000+PP1CS000	osar+me
esqrebir	escribir	VMN0000	escribir
tan	tan	RC	tan
descalcamente	descalzamente	RG	descalzamente
y	y	CC	y
sin	sin	SPS00	sin
berguença	vergüenza	NCFS000	vergüenza
la	la	DA0FS0	el
bellaca	bellaca	NCFS000	bellaco
entincion	intención	NCFS000	intención
q	que	PR0CN000	que
teneis	tenéis	VMIP2P0	tener
	,	Fc	,
pero	pero	CC	pero
al	al	SPS00+DA0MS0	a+el
fin	fin	NCMS000	fin
sois	sois	VSIP2P0	ser
de	de	SPS00	de
Ruin	ruin	AQ0CS0	ruin
casta	casta	NCFS000	casta
y	y	CC	y
no	no	RN	no
podiades	podíades	VMII2S0	poder
haçer	hacer	VMN0000	hacer
sino	sino	CC	sino
como	como	CS	como
de	de	SPS00	de
la	la	DA0FS0	el
casta	casta	NCFS000	casta
donde	donde	PA000000	donde
benis	venís	VMIP2P0	venir
	.	Fp	.
al	Al	SPS00+DA0MS0	a+el
fin	fin	NCMS000	fin
bos	vos	PP2CS000	vos
y	y	CC	y
los	los	DA0MP0	el
buestos	vuestros	PX2MP0P0	vuestro
os	os	PP2CP000	os
teneis	tenéis	VMIP2P0	tener
por	por	SPS00	por
mas	más	RC	más
onRados	honrados	VMP00PM	honrar
de	de	SPS00	de
q	que	CS	que
bos	vos	PP2CS000	vos
seais	seáis	VSSP2P0	ser
puta	puta	NCFS000	puta
de	de	SPS00	de
frailes	frailes	NCMP000	fraile
y	y	CC	y
qlerigos	clérigos	NCMP000	clérigo
y	y	CC	y
estar	estar	VMN0000	estar
amançebada	amancebada	VMP00SF	amancebar
con	con	SPS00	con
ese	ese	DD0MS0	ese
Judio	judío	NCMS000	judío
de	de	SPS00	de
madrid	Madrid	NP00000	madrid
calcetero	calcetero	NCMS000	calcetero
q	que	CS	que
no	no	RN	no
de	de	SPS00	de
ser	ser	VSN0000	ser
mi	mi	DP1CSS	mi
mujer	mujer	NCFS000	mujer
	.	Fp	.
y	Y	CC	y
si	si	CS	si
bos	vos	PP2CS000	vos
os	os	PP2CP000	os
abeis	habéis	VAIP2P0	haber
Rebuelto	revuelto	VMP0000	revolver
con	con	SPS00	con
las	las	DA0FP0	el
hijas	hijas	NCFP000	hijo
de	de	SPS00	de
murçia	Murcia	NP00000	murcia
	,	Fc	,
q	que	PR0CN000	que
son	son	VSIP3P0	ser
tan	tan	RC	tan
grandes	grandes	AQ0CP0	grande
putas	putas	NCFP000	puta
como	como	CS	como
bos	vos	PP2CS000	vos
	,	Fc	,
seria	sería	VSIC0S0	ser
sobre	sobre	SPS00	sobre
algunos	algunos	DI0MP0	alguno
celos	celos	NCMP000	celo
de	de	SPS00	de
salmeronçillo	Salmeroncillo	NP00000	salmeroncillo
o	o	CC	o
de	de	SPS00	de
otros	otros	DI0MP0	otro
galanes	galanes	NCMP000	galán
con	con	SPS00	con
qien	quien	PR0CS000	quien
bos	vos	PP2CS000	vos
y	y	CC	y
esotras	esotras	DD0FP0	esotro
putas	putas	NCFP000	puta
tratais	tratáis	VMIP2P0	tratar
	.	Fp	.
deçis	Decís	VMIP2P0	decir
tanbien	también	RG	también
q	que	CS	que
traeis	traéis	VMIP2P0	traer
pleito	pleito	NCMS000	pleito
en	en	SPS00	en
madrid	Madrid	NP00000	madrid
	.	Fp	.
sera	Será	VSIF3S0	ser
achaqe	achaque	NCMS000	achaque
para	para	SPS00	para
yros	iros	VMN0000+PP2CP000	ir+os
a	a	SPS00	a
cabalgar	cabalgar	VMN0000	cabalgar
a	a	SPS00	a
madrid	Madrid	NP00000	madrid
con	con	SPS00	con
mateo	Mateo	NP00000	mateo
sanchez	Sánchez	NP00000	sánchez
el	el	DA0MS0	el
calcetero	calcetero	NCMS000	calcetero
	,	Fc	,
porq	porque	CS	porque
el	el	DA0MS0	el
pleito	pleito	NCMS000	pleito
no	no	RN	no
pende	pende	VMIP3S0	pender
en	en	SPS00	en
madrid	Madrid	NP00000	madrid
para	para	SPS00	para
q	que	CS	que
bos	vos	PP2CS000	vos
lo	lo	PP3MSA00	lo
sigais	sigáis	VMSP2P0	seguir
alla	allá	RG	allá
	.	Fp	.
y	Y	CC	y
entende	entended	VMM02P0	entender
q	que	CS	que
buestras	vuestras	DP2FPP	vuestro
maldades	maldades	NCFP000	maldad
no	no	RN	no
son	son	VSIP3P0	ser
seqretas	secretas	AQ0FP0	secreto
	,	Fc	,
sino	sino	CC	sino
mui	muy	RQ	muy
publicas	públicas	AQ0FP0	público
	,	Fc	,
y	y	CC	y
q	que	CS	que
las	las	PP3FPA00	los
saben	saben	VMIP3P0	saber
los	los	DA0MP0	el
ninos	niños	NCMP000	niño
y	y	CC	y
perros	perros	NCMP000	perro
y	y	CC	y
gatos	gatos	NCMP000	gato
y	y	CC	y
la	la	DA0FS0	el
puta	puta	NCFS000	puta
bieja	vieja	AQ0FS0	viejo
de	de	SPS00	de
buesa	vuestra	DP2FSP	vuestro
madre	madre	NCFS000	madre
y	y	CC	y
ermanos	hermanos	NCMP000	hermano
	,	Fc	,
q	que	PR0CN000	que
son	son	VSIP3P0	ser
buestros	vuestros	DP2MPP	vuestro
alcaguetes	alcahuetes	NCMP000	alcahuete
y	y	CC	y
encobridores	encubridores	NCMP000	encubridor
	.	Fp	.
ellos	Ellos	PP3MP000	ellos
me	me	PP1CS000	me
lo	lo	PP3CNA00	lo
pagaran	pagarán	VMIF3P0	pagar
tanbien	también	RG	también
como	como	CS	como
bos	vos	PP2CS000	vos
	.	Fp	.
porq	Porque	CS	porque
no	no	RN	no
penseis	penséis	VMSP2P0	pensar
q	que	CS	que
ai	hay	VMIP3S0	haber
cosa	cosa	NCFS000	cosa
enqbierta	encubierta	VMP00SF	encubrir
	,	Fc	,
porq	porque	CS	porque
mui	muy	RQ	muy
bien	bien	RG	bien
se	sé	VMIP1S0	saber
de	de	SPS00	de
las	las	DA0FP0	el
bellaqerias	bellaquerías	NCFP000	bellaquería
del	del	SPS00+DA0MS0	de+el
señor	señor	NP00000	señor
mateo	Mateo	NP00000	mateo
sanchez	Sánchez	NP00000	sánchez
	,	Fc	,
el	el	DA0MS0	el
calcetero	calcetero	NCMS000	calcetero
de	de	SPS00	de
madrid	Madrid	NP00000	madrid
	,	Fc	,
y	y	CC	y
de	de	SPS00	de
todo	todo	DI0MS0	todo
lo	lo	DA0NS0	el
q	que	PR0CN000	que
os	os	PP2CP000	os
a	ha	VAIP3S0	haber
dado	dado	VMP0000	dar
a	a	SPS00	a
bos	vos	PP2CS000	vos
y	y	CC	y
a	a	SPS00	a
la	la	DA0FS0	el
puta	puta	NCFS000	puta
bieja	vieja	AQ0FS0	viejo
alcagueta	alcahueta	AQ0FS0	alcahuete
de	de	SPS00	de
buesa	vuestra	DP2FSP	vuestro
madre	madre	NCFS000	madre
i	y	CC	y
ermana	hermana	NCFS000	hermano
	:	Fd	:
del	del	SPS00+DA0MS0	de+el
manto	manto	NCMS000	manto
y	y	CC	y
de	de	SPS00	de
las	las	DA0FP0	el
bolsas	bolsas	NCFP000	bolsa
de	de	SPS00	de
brocado	brocado	NCMS000	brocado
y	y	CC	y
dedales	dedales	NCMP000	dedal
de	de	SPS00	de
plata	plata	NCFS000	plata
y	y	CC	y
otras	otras	DI0FP0	otro
muchas	muchas	DI0FP0	mucho
cosas	cosas	NCFP000	cosa
	,	Fc	,
q	que	PR0CN000	que
las	las	PP3FPA00	lo
e	he	VAIP1S0	haber
bisto	visto	VMP0000	ver
por	por	SPS00	por
bista	vista	NCFS000	vista
de	de	SPS00	de
ojos	ojos	NCMP000	ojo
	.	Fp	.
y	Y	CC	y
el	el	DA0MS0	el
señor	señor	NP00000	señor
narbaez	Narváez	NP00000	narváez
	,	Fc	,
secretario	secretario	NCMS000	secretario
vuestro	vuestro	DP2MSP	vuestro
y	y	CC	y
del	del	SPS00+DA0MS0	de+el
Judio	judío	NCMS000	judío
de	de	SPS00	de
mateo	Mateo	NP00000	mateo
sanchez	Sánchez	NP00000	sánchez
	,	Fc	,
el	él	PP3MS000	él
pagara	pagará	VMIF3S0	pagar
algun	algún	DI0MS0	alguno
dia	día	NCMS000	día
	,	Fc	,
porq	porque	CS	porque
yo	yo	PP1CSN00	yo
