Amigo	Amigo	NP00000	amigo
y	y	CC	y
sr	señor	NP00000	señor
Julian	Julián	NP00000	julián
de	de	SPS00	de
toda	toda	DI0FS0	todo
mi	mi	DP1CSS	mi
estimazon	estimación	NCFS000	estimación
	.	Fp	.
zelebrare	Celebraré	VMIF1S0	celebrar
que	que	CS	que
esta	ésta	PD0FS000	este
halle	halle	VMSP0S0	hallar
a	a	SPS00	a
Vmd	VM	NP00000	VM
con	con	SPS00	con
toda	toda	DI0FS0	todo
salud	salud	NCFS000	salud
en	en	SPS00	en
Conpa	compañía	NCFS000	compañía
de	de	SPS00	de
su	su	DP3CS0	su
sa	señora	NP00000	señor
Parta	parienta	NCFS000	pariente
Maria	María	NP00000	maría
Anttonia	Antonia	NP00000	antonia
	,	Fc	,
a	a	SPS00	a
qn	quien	PR0CS000	quien
dara	dará	VMIF3S0	dar
Vmd	VM	NP00000	VM
mis	mis	DP1CPS	mi
expresiones	expresiones	NCFP000	expresión
y	y	CC	y
tendra	tendrá	VMIF3S0	tener
esta	ésta	PD0FS000	este
pr	por	SPS00	por
suia	suya	PX3FS000	suyo
.	.	Fp	.
Yo	Yo	PP1CSN00	yo
	,	Fc	,
á	a	SPS00	a
Dios	Dios	NP00000	dios
grazs	gracias	NCFP000	gracia
	,	Fc	,
bueno	bueno	AQ0MS0	bueno
	,	Fc	,
pero	pero	CC	pero
tan	tan	RC	tan
apesadumbrado	apesadumbrado	VMP00SM	apesadumbrar
me	me	PP1CS000	me
hallo	hallo	VMIP1S0	hallar
como	como	PA000000	como
puede	puede	VMIP3S0	poder
considerar	considerar	VMN0000	considerar
en	en	SPS00	en
esta	esta	DD0FS0	este
carzel	cárcel	NCFS000	cárcel
de	de	SPS00	de
corona	Corona	NP00000	corona
,	,	Fc	,
todo	todo	PI0MS000	todo
dimanado	dimanado	VMP00SM	dimanar
de	de	SPS00	de
la	la	DA0FS0	el
desgrazia	desgracia	NCFS000	desgracia
q	que	PR0CN000	que
tubimos	tuvimos	VMIS1P0	tener
	,	Fc	,
asi	así	RG	así
la	la	DA0FS0	el
Manuela	Manuela	NP00000	manuela
como	como	CC	como
todos	todos	PI0MP000	todo
	,	Fc	,
de	de	SPS00	de
la	la	DA0FS0	el
buena	buena	AQ0FS0	bueno
eleczion	elección	NCFS000	elección
de	de	SPS00	de
la	la	DA0FS0	el
Criada	criada	NCFS000	criado
q	que	PR0CN000	que
nos	nos	PP1CP000	nos
Vuscó	buscó	VMIS3S0	buscar
su	su	DP3CS0	su
sa	señora	NP00000	señor
Parta	parienta	NCFS000	pariente
	,	Fc	,
la	la	DA0FS0	el
que	que	PR0CN000	que
nos	nos	PP1CP000	nos
dio	dio	VMIS3S0	dar
a	a	SPS00	a
todos	todos	PI0MP000	todo
buen	buen	AQ0MS0	bueno
pago	pago	NCMS000	pago
por	por	SPS00	por
haberla	haberla	VAN0000+PP3FSA00	haber+lo
Vestido	vestido	VMP0000	vestir
sin	sin	SPS00	sin
merezerlo	merecerlo	VMN0000+PP3CNA00	merecer+lo
y	y	CC	y
echo	hecho	VMP00SM	hacer
satisfazion	satisfacción	NCFS000	satisfacción
d	de	SPS00	de
ella	ella	PP3FS000	él
en	en	SPS00	en
el	el	DA0MS0	el
supuesto	supuesto	VMP00SM	suponer
	,	Fc	,
como	como	PA000000	como
sabe	sabe	VMIP3S0	saber
el	el	DA0MS0	el
Mozo	mozo	NCMS000	mozo
y	y	CC	y
la	la	DA0FS0	el
Manla	Manuela	NP00000	manuela
	,	Fc	,
de	de	SPS00	de
que	que	CS	que
satisfaria	satisfaría	VMIC0S0	satisfacer
su	su	DP3CS0	su
Pe	padre	NCMS000	padre
lo	lo	DA0NS0	el
q	que	PR0CN000	que
excediese	excediese	VMSI0S0	exceder
del	del	SPS00+DA0MS0	de+el
salario	salario	NCMS000	salario
servido	servido	VMP00SM	servir
	.	Fp	.
y	Y	CC	y
asi	así	RG	así
dijo	dijo	VMIS3S0	decir
q	que	CS	que
por	por	SPS00	por
eso	eso	PD0NN000	eso
no	no	RN	no
dejasen	dejasen	VMSI3P0	dejar
de	de	SPS00	de
vestirla	vestirla	VMN0000+PP3FSA00	vestir+lo
y	y	CC	y
hazerle	hacerle	VMN0000+PP3CSD00	hacer+le
Casasa	casaca	NCFS000	casaca
de	de	SPS00	de
paño	paño	NCMS000	paño
fino	fino	AQ0MS0	fino
ea	etc	NCMS000	etcétera
	.	Fp	.
Y	Y	CC	y
no	no	RN	no
tan	tan	RC	tan
solamte	solamente	RG	solamente
huio	huyó	VMIS3S0	huir
de	de	SPS00	de
Ver	ver	VMN0000	ver
la	la	DA0FS0	el
qta	cuenta	NCFS000	cuenta
	,	Fc	,
si	si	CS	si
que	que	CS	que
fue	fue	VSIS3S0	ser
tan	tan	RC	tan
Marraja	marraja	AQ0FS0	marrajo
q	que	CS	que
	,	Fc	,
estando	estando	VAG0000	estar
yo	yo	PP1CSN00	yo
y	y	CC	y
todo	todo	DI0MS0	todo
lel	el	DA0MS0	el
lugr	lugar	NCMS000	lugar
en	en	SPS00	en
q	que	CS	que
era	era	VSII0S0	ser
mal	mal	NCMS000	mal
de	de	SPS00	de
corazon	corazón	NCMS000	corazón
	(	Fba	(
como	como	PA000000	como
de	de	SPS00	de
facto	facto	NCMS000	facto
tenia	tenía	VMII0S0	tener
tanbien	también	RG	también
la	la	DA0FS0	el
Manla	Manuela	NP00000	manuela
