Suposto	Suposto	VMP00SM	supor
como	como	CS	como
he	é	VSIP3S0	ser
verdade	verdade	NCFS000	verdade
infalivel	infalível	AQ0CS0	infalível
	,	Fc	,
tanto	tanto	CC	tanto
que	que	CS	que
não	não	RN	não
ha	há	VMIP3S0	haver
nen	nem	CC	nem
pode	pode	VMIP3S0	poder
aver	haver	VMN0000	haver
mor	maior	AQ0CS0	maior
verdade	verdade	NCFS000	verdade
	,	Fc	,
que	que	CS	que
esa	essa	DD0FS0	esse
mizera	mísera	AQ0FS0	mísero
gente	gente	NCFS000	gente
foi	foi	VSIS3S0	ser
destruida	destruída	VMP00SF	destruir
e	e	CC	e
deshonrada	desonrada	VMP00SF	desonrar
cö	com	SPS00	com
falsidades	falsidades	NCFP000	falsidade
e	e	CC	e
aleives	aleives	NCMP000	aleive
	,	Fc	,
os	os	DA0MP0	o
quais	quais	PR0CP000	qual
martin	Martim	NP00000	martim
afonso	Afonso	NP00000	afonso
e	e	CC	e
jorge	Jorge	NP00000	jorge
de	de	SPS00	de
mello	Melo	NP00000	melo
puderão	puderam	VMIS3P0	poder
aclarar	aclarar	VMN0000	aclarar
antes	antes	RG	antes
de	de	SPS00	de
se	se	CS	se
formarem	formarem	RG	formarem
	,	Fc	,
como	como	CS	como
me	me	PP1CS000	me
consta	consta	VMIP3S0	constar
	,	Fc	,
e	e	CC	e
dahi	daí	SPS00+RG	de+aí
me	me	PP1CS000	me
naseo	nasceu	VMIS3S0	nascer
tamanha	tamanha	AQ0FS0	tamanho
infamia	infâmia	NCFS000	infâmia
e	e	CC	e
deshonrra	desonra	NCFS000	desonra
que	que	CS	que
nen	nem	CC	nem
os	os	DA0MP0	o
inquizidores	inquisidores	NCMP000	inquisidor
	,	Fc	,
nen	nem	CC	nem
el rei	El-Rei	NP00000	el-rei
	,	Fc	,
nen	nem	CC	nem
o	o	DA0MS0	o
papa	papa	NP00000	papa
me	me	PP1CS000	me
pode	pode	VMIP3S0	poder
restituir	restituir	VMN0000	restituir
	.	Fp	.
me	Me	PP1CS000	me
rezumi	resumi	VMIS1S0	resumir
a	a	SPS00	a
com	com	SPS00	com
mtos	muitos	DI0MP0	muito
trabalhos	trabalhos	NCMP000	trabalho
e	e	CC	e
todos	todos	DI0MP0	todo
os	os	DA0MP0	o
riscos	riscos	NCMP000	risco
da	da	SPS00+DA0FS0	de+o
vida	vida	NCFS000	vida
	,	Fc	,
cuidados	cuidados	NCMP000	cuidado
e	e	CC	e
não	não	RG	não
cuidados	cuidados	NCMP000	cuidado
	,	Fc	,
trabalhar	trabalhar	VMN0000	trabalhar
por	por	SPS00	por
me	me	PP1CS000	me
igualar	igualar	VMN0000	igualar
com	com	SPS00	com
a	a	DA0FS0	o
injusta	injusta	AQ0FS0	injusto
potensia	potência	NCFS000	potência
e	e	CC	e
lugar	lugar	NCMS000	lugar
que	que	CS	que
o	o	DA0MS0	o
tempo	tempo	NCMS000	tempo
lhes	lhes	PP3CPD00	lhe
deu	deu	VMIS3S0	dar
	,	Fc	,
o	o	DA0MS0	o
como	como	NCMS000	como
e	e	CC	e
por	por	SPS00	por
donde	onde	PA000000	onde
isto	isto	PD0NN000	isto
alcansarei	alcançarei	VMIF1S0	alcançar
	.	Fp	.
não	Não	RN	não
estou	estou	VMIP1S0	estar
ora	ora	RG	ora
rezumido	resumido	NCMS000	resumido
	,	Fc	,
so	só	RG	só
de	de	SPS00	de
minha	minha	DP1FSS	meu
parte	parte	NCFS000	parte
ofereso	ofereço	VMIP1S0	oferecer
o	o	DA0MS0	o
trabalho	trabalho	NCMS000	trabalho
e	e	CC	e
risco	risco	NCMS000	risco
da	da	SPS00+DA0FS0	de+o
vida	vida	NCFS000	vida
	,	Fc	,
e	e	CC	e
ds	Deus	NP00000	deus
dispora	disporá	VMIF3S0	dispor
se	se	CS	se
for	for	VMSF0S0	ir
servido	servido	VMP00SM	servir
	.	Fp	.
porem	Porém	RG	porém
	,	Fc	,
o	o	DA0MS0	o
que	que	PR0CN000	que
afirmo	afirmo	VMIP1S0	afirmar
e	e	CC	e
sei	sei	VMIP1S0	saber
ser	ser	VSN0000	ser
tão	tão	RC	tão
serto	certo	AQ0MS0	certo
e	e	CC	e
imfalivel	infalível	AQ0CS0	infalível
	,	Fc	,
que	que	CS	que
não	não	RN	não
poder	poder	VMN0000	poder
aver	haver	VMN0000	haver
no	no	SPS00+DA0MS0	em+o
mundo	mundo	NCMS000	mundo
mor	maior	AQ0CS0	maior
verdade	verdade	NCFS000	verdade
	,	Fc	,
he	é	VSIP3S0	ser
que	que	CS	que
mta	muita	DI0FS0	muito
rezão	razão	NCFS000	razão
tinha	tinha	VMII0S0	ter
jorge	Jorge	NP00000	jorge
de	de	SPS00	de
mello	Melo	NP00000	melo
pa	para	SPS00	para
saber	saber	VMN0000	saber
que	que	CS	que
	,	Fc	,
se	se	CS	se
alexandre	Alexandre	NP00000	alexandre
hera	era	VSII0S0	ser
herege	herege	AQ0CS0	herege
	,	Fc	,
não	não	RN	não
podia	podia	VMII0S0	poder
ser	ser	VSN0000	ser
comunicalo	comunicá-lo	VMN0000+PP3MSA00	comunicar+o
com	com	SPS00	com
os	os	DA0MP0	o
fos	filhos	NCMP000	filho
de	de	SPS00	de
joão	João	NP00000	joão
ribeiro	Ribeiro	NP00000	ribeiro
	,	Fc	,
por	por	SPS00	por
a	a	DA0FS0	o
diferensa	diferença	NCFS000	diferença
das	das	SPS00+DA0FP0	de+o
calidades	qualidades	NCFP000	qualidade
ser	ser	VSN0000	ser
trato	trato	NCMS000	trato
	,	Fc	,
comunicasão	comunicação	NCFS000	comunicação
e	e	CC	e
idade	idade	NCFS000	idade
	,	Fc	,
tanto	tanto	CC	tanto
que	que	CS	que
afirmo	afirmo	VMIP1S0	afirmar
não	não	RN	não
saber	saber	VMN0000	saber
alexandre	Alexandre	NP00000	alexandre
os	os	DA0MP0	o
nomes	nomes	NCMP000	nome
proprios	próprios	AQ0MP0	próprio
	.	Fp	.
a	A	SPS00	a
estes	estes	DD0MP0	este
e	e	CC	e
isto	isto	PD0NN000	isto
devião	deviam	VMII3P0	dever
inquirir	inquirir	VMN0000	inquirir
e	e	CC	e
saber	saber	VMN0000	saber
os	os	DA0MP0	o
inquizidores	inquisidores	NCMP000	inquisidor
	,	Fc	,
antes	antes	RG	antes
de	de	SPS00	de
aseitar	aceitar	VMN0000	aceitar
a	a	DA0FS0	o
esguichada	esguichada	VMP00SF	esguichar
dũ	dum	SPS00+DI0MS0	de+um
perro	perro	NCMS000	perro
	,	Fc	,
destes	destes	SPS00+DD0MP0	de+este
de	de	SPS00	de
quẽ	quem	PR0CN000	quem
en	em	SPS00	em
rezão	razão	NCFS000	razão
e	e	CC	e
justisa	justiça	NCFS000	justiça
se	se	CS	se
pode	pode	VMIP3S0	poder
cuidar	cuidar	VMN0000	cuidar
que	que	CS	que
	,	Fc	,
por	por	SPS00	por
ver	ver	VMN0000	ver
todos	todos	DI0MP0	todo
como	como	CS	como
asi	assim	RG	assim
	,	Fc	,
e	e	CC	e
ali	ali	RG	ali
vir	vir	VMN0000	vir
a	a	SPS00	a
mesma	mesma	AQ0FS0	mesmo
rezão	razão	NCFS000	razão
que	que	CS	que
o	o	DA0MS0	o
dito	dito	NCMS000	o
da	dá	VMIP3S0	dar
pa	para	SPS00	para
não	não	RN	não
valer	valer	VMN0000	valer
o	o	DA0MS0	o
dito	direito	NCMS000	direito
do	do	SPS00+DA0MS0	de+o
complice	cúmplice	NCCS000	cúmplice
en	em	SPS00	em
cazo	caso	NCMS000	caso
crime	crime	NCMS000	crime
	,	Fc	,
perque	porque	CS	porque
consta	consta	VMIP3S0	constar
en	em	SPS00	em
rezão	razão	NCFS000	razão
	,	Fc	,
dito	direito	NCMS000	direito
e	e	CC	e
justisa	justiça	NCFS000	justiça
que	que	PR0CN000	que
se	se	P00CN000	se
não	não	RN	não
deve	deve	VMIP3S0	dever
dar	dar	VMN0000	dar
credito	crédito	NCMS000	crédito
a	a	SPS00	a
este	este	DD0MS0	este
simples	simples	AQ0CS0	simples
dito	direito	NCMS000	direito
	,	Fc	,
e	e	CC	e
eu	eu	PP1CSN00	eu
não	não	RN	não
sei	sei	VMIP1S0	saber
que	que	CS	que
dito	direito	RG	direito
acharão	acharão	VMIF3P0	achar
en	em	SPS00	em
portugual	Portugal	NP00000	portugal
en	em	SPS00	em
diferensa	diferença	NCFS000	diferença
de	de	SPS00	de
todos	todos	DI0MP0	todo
os	os	DA0MP0	o
mais	mais	RC	mais
reinos	reinos	NCMP000	reino
e	e	CC	e
estados	estados	NCMP000	estado
	.	Fp	.
a	A	SPS00	a
iso	isso	PD0NN000	isso
se	se	CS	se
me	me	PP1CS000	me
respondeo	respondeu	VMIS3S0	responder
que	que	CS	que
en	em	SPS00	em
