as	As	DA0FP0	o
causas	causas	NCFP000	causa
de	de	SPS00	de
tantos	tantos	DI0MP0	tanto
tos	testemunhos	NCMP000	testemunho
falsos	falsos	AQ0MP0	falso
são	são	VSIP3S0	ser
q	que	CS	que
graviel	Gabriel	NP00000	gabriel
vale	Vale	NP00000	vale
dise	disse	VMIS3S0	dizer
ao	ao	SPS00+DA0MS0	a+o
Marsal	Marçal	NP00000	marçal
q	que	CS	que
seu	seu	DP3MS0	seu
irmão	irmão	NCMS000	irmão
era	era	VSII0S0	ser
morto	morto	NCMS000	morto
confeço	confesso	VMIP1S0	confessar
e	e	CC	e
q	que	CS	que
suas	suas	DP3FP0	seu
irmas	irmãs	NCFP000	irmão
freiras	freiras	NCFP000	freira
erão	eram	VSII3P0	ser
prezas	presas	NCFP000	presa
e	e	CC	e
q	que	CS	que
os	os	DA0MP0	o
q	que	PR0CN000	que
lha	lha	PP3CSD00+PP3FSA00	lhe+o
alevantarão	alevantaram	VMIS3P0	alevantar
testemunho	testemunho	NCMS000	testemunho
era	era	VSII0S0	ser
o	o	DA0MS0	o
...	...	Fc	...
Ant	António	NP00000	antónio
dias	Dias	NP00000	dias
d	de	SPS00	de
agiar	Aguiar	NP00000	aguiar
	,	Fc	,
Anto	António	NP00000	antónio
correia	Correia	NP00000	correia
e	e	CC	e
outros	outros	DI0MP0	outro
mtos	muitos	DI0MP0	muito
q	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
dissem	dizem	VMIP3P0	dizer
voses	vozes	NCFP000	voz
altas	altas	AQ0FP0	alto
do	do	SPS00+DA0MS0	de+o
coredor	corredor	NCMS000	corredor
do	do	SPS00+DA0MS0	de+o
meio	meio	NCMS000	meio
novo	novo	NCMS000	novo
pa	para	SPS00	para
a	a	DA0FS0	o
casa	casa	NCFS000	casa
segunda	segunda	AO0FS0	segundo
	,	Fc	,
junto	junto	RG	junto
a	à	SPS00+DA0FS0	a+o
mesa	mesa	NCFS000	mesa
q	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
ficava	ficava	VMII0S0	ficar
aberta	aberta	NCFS000	aberta
	.	Fp	.
sempre	Sempre	RG	sempre
isto	isto	PD0NN000	isto
em	em	SPS00	em
voses	vozes	NCFP000	voz
altas	altas	AQ0FP0	alto
q	que	PR0CN000	que
ouviu	ouviu	VMIS3S0	ouvir
todo	todo	DI0MS0	todo
o	o	DA0MS0	o
coredor	corredor	NCMS000	corredor
e	e	CC	e
parthycular	particular	NCMS000	particular
frco	Francisco	NP00000	francisco
gonsalves	Gonçalves	NP00000	gonçalves
	,	Fc	,
diogo	Diogo	NP00000	diogo
lopes	Lopes	NP00000	lopes
pinto	Pinto	NP00000	pinto
	,	Fc	,
companheiro	companheiro	NCMS000	companheiro
do	do	SPS00+DA0MS0	de+o
mesmo	mesmo	AQ0MS0	mesmo
Alvaro	Álvaro	NP00000	álvaro
d	de	SPS00	de
asevedo	Azevedo	NP00000	azevedo
	,	Fc	,
mateus	Mateus	NP00000	mateus
lopes	Lopes	NP00000	lopes
	,	Fc	,
João	João	NP00000	joão
bruno	Bruno	NP00000	bruno
e	e	CC	e
os	os	DA0MP0	o
mais	mais	RC	mais
	,	Fc	,
q	que	CS	que
todos	todos	PI0MP000	todo
estranharã	estranharam	VMIS3P0	estranhar
ao	ao	SPS00+DA0MS0	a+o
dito	dito	VMP00SM	dizer
vale	Vale	NP00000	vale
diser	dizer	VMN0000	dizer
tal	tal	RC	tal
q	que	CS	que
o	o	DA0MS0	o
dito	dito	VMP00SM	dizer
Marsal	Marçal	NP00000	marçal
perguntava	perguntava	VMII0S0	perguntar
pelas	pelas	SPS00+DA0FP0	por+o
pesoas	pessoas	NCFP000	pessoa
q	que	PR0CN000	que
estavao	estavam	VMII3P0	estar
presas	presas	NCFP000	presa
despois	depois	RG	depois
de	de	SPS00	de
noteficado	notificado	VMP00SM	notificar
cõ	com	SPS00	com
sentenca	sentença	NCFS000	sentença
de	de	SPS00	de
morte	morte	NCFS000	morte
	.	Fp	.
tas	Testemunhas	NCFP000	testemunha
	:	Fp	:
Alvaro	Álvaro	NP00000	álvaro
d	de	SPS00	de
asevedo	Azevedo	NP00000	azevedo
	,	Fc	,
mateus	Mateus	NP00000	mateus
lopes	Lopes	NP00000	lopes
	,	Fc	,
João	João	NP00000	joão
bruno	Bruno	NP00000	bruno
	.	Fp	.
ouvi	Ouvi	VMIS1S0	ouvir
diser	dizer	VMN0000	dizer
q	que	CS	que
a	a	DA0FS0	o
estevera	estivera	VMIM0S0	estar
com	com	SPS00	com
a	a	DA0FS0	o
snora	Senhora	NP00000	senhor
silva	Silva	NP00000	silva
e	e	CC	e
q	que	CS	que
despois	depois	RG	depois
a	a	PP3FSA00	o
pasarão	passaram	VMIS3P0	passar
pa	para	SPS00	para
junto	junto	RG	junto
da	da	SPS00+DA0FS0	de+o
snora	Senhora	NP00000	senhor
esperancas	Esperança	NP00000	esperança
q	que	CS	que
lhe	lhe	PP3CSD00	lhe
devia	devia	VMII0S0	dever
de	de	SPS00	de
dar	dar	VMN0000	dar
novas	novas	NCFP000	nova
do	do	SPS00+DA0MS0	de+o
q	que	PR0CN000	que
le	lhe	PP3CSD00	lhe
pasava	passava	VMII0S0	passar
	.	Fp	.
e	E	CC	e
a	a	DA0FS0	o
dita	dita	VMP00SF	dizer
escreveo	escreveu	VMIS3S0	escrever
a	a	SPS00	a
Mateus	Mateus	NP00000	mateus
lopes	Lopes	NP00000	lopes
q	que	CS	que
a	a	SPS00	a
snora	Senhora	NP00000	senhor
esperansa	Esperança	NP00000	esperança
disião	diziam	VMII3P0	dizer
q	que	CS	que
queria	queria	VMII0S0	querer
morrer	morrer	VMN0000	morrer
e	e	CC	e
q	que	CS	que
a	a	SPS00	a
não	não	RN	não
podia	podia	VMII0S0	poder
mais	mais	RC	mais
acudir	acudir	VMN0000	acudir
a	a	SPS00	a
nada	nada	PI0NN00N	nada
	,	Fc	,
q	que	CS	que
Ds	Deus	NP00000	deus
lhe	lhe	PP3CSD00	lhe
perdoase	perdoasse	VMSI0S0	perdoar
o	o	DA0MS0	o
mal	mal	NCMS000	mal
q	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
fisera	fizera	VMIM0S0	fazer
mas	mas	CC	mais
q	que	CS	que
o	o	PP3MSA00	o
faria	faria	VMIC0S0	fazer
por	por	SPS00	por
se	se	CS	se
salvar	salvar	VMN0000	salvar
e	e	CC	e
q	que	CS	que
a	a	SPS00	a
hũa	uma	DI0FS0	um
companheira	companheira	NCFS000	companheiro
ja	já	RG	já
a	a	PP3FSA00	o
tinha	tinha	VAII0S0	ter
feito	feito	VMP00SM	fazer
confesar	confessar	VMN0000	confessar
q	que	CS	que
era	era	VSII0S0	ser
de	de	SPS00	de
leiria	Leiria	NP00000	leiria
	,	Fc	,
q	que	CS	que
dise se	dissesse	VMSI0S0	dizer
ja	já	RG	já
a	a	SPS00	a
suas	suas	DP3FP0	seu
irmas	irmãs	NCFP000	irmão
fezesem	fizessem	VMSI3P0	fazer
a	a	SPS00	a
mesma	mesma	AQ0FS0	mesmo
	,	Fc	,
q	que	CS	que
a	a	SPS00	a
snora	Senhora	NP00000	senhor
silva	Silva	NP00000	silva
dise	disse	VMIS3S0	dizer
ao	ao	SPS00+DA0MS0	a+o
pataquas	Patacas	NCFP000	pataca
q	que	CS	que
	,	Fc	,
por	por	SPS00	por
se	se	CS	se
vingar	vingar	VMN0000	vingar
de	de	SPS00	de
vm	VM	NP00000	VM
	,	Fc	,
iria	iria	VMIC0S0	ir
de	de	SPS00	de
se	se	CS	se
cesar	cessar	VMN0000	cessar
com	com	SPS00	com
o	o	DA0MS0	o
desengano	desengano	NCMS000	desengano
	,	Fc	,
pois	pois	CS	pois
vm	VM	NP00000	VM
a	a	SPS00	a
não	não	RN	não
quisera	quisera	VMIM0S0	querer
socorer	socorrer	VMN0000	socorrer
em	em	SPS00	em
suas	suas	DP3FP0	seu
nescecidades	necessidades	NCFP000	necessidade
	,	Fc	,
q	que	CS	que
so	só	RG	só
salvarem	salvarem	VMII3P0	salvar
a	a	PP3FSA00	o
aconselhava	aconselhava	PP3FSA00	o
e	e	CC	e
lhe	lhe	PP3CSD00	lhe
disia	dizia	VMII0S0	dizer
o	o	DA0MS0	o
que	que	PR0CN000	que
avia	havia	VMII0S0	haver
de	de	SPS00	de
fazer	fazer	VMN0000	fazer
e	e	CC	e
q	que	CS	que
ela	ela	PP3FS000	ele
em	em	SPS00	em
tudo	tudo	PI0NN000	tudo
segia	seguia	VMIP3S0	seguiar
sua	sua	DP3FS0	seu
ordem	ordem	NCFS000	ordem
e	e	CC	e
q	que	CS	que
patacas	Patacas	NCFP000	pataca
dava	dava	VMII0S0	dar
conta	conta	NCFS000	conta
ao	ao	SPS00+DA0MS0	a+o
irmão	irmão	NCMS000	irmão
de	de	SPS00	de
tudo	tudo	PI0NN000	tudo
o	o	DA0MS0	o
que	que	PR0CN000	que
fais	faz	VMIP3S0	fazer
a	a	SPS00	a
snora	Senhora	NP00000	senhor
silva	Silva	NP00000	silva
	,	Fc	,
q	que	CS	que
era	era	VSII0S0	ser
por	por	SPS00	por
ordem	ordem	NCFS000	ordem
do	do	SPS00+DA0MS0	de+o
q	que	PR0CN000	que
	,	Fc	,
perguntado	perguntado	VMP00SM	perguntar
Alvaro	Álvaro	NP00000	álvaro
d	de	SPS00	de
azevedo	Azevedo	NP00000	azevedo
a	a	SPS00	a
Mateus	Mateus	NP00000	mateus
Lopes	Lopes	NP00000	lopes
como	como	CS	como
hia	ia	VMII0S0	ir
a	a	DA0FS0	o
dita	dita	VMP00SF	dizer
snora	Senhora	NP00000	senhor
tantas	tantas	DI0FP0	tanto
veses	vezes	NCFP000	vez
a	a	SPS00	a
