Mandeme	Mande-me	VMSP0S0+PP1CS000	mandar+me
Vm	VM	NP00000	VM
dizer	dizer	VMN0000	dizer
como	como	PA000000	como
Se	se	P00CN000	se
achou	achou	VMIS3S0	achar
,	,	Fc	,
q	que	PR0CN000	que
hê	é	VSIP3S0	ser
o	o	DA0MS0	o
q	que	PR0CN000	que
importa	importa	VMIP3S0	importar
mais	mais	RC	mais
que	que	CS	que
tudo	tudo	PI0NN000	tudo
	.	Fp	.
pareçeme	Parece-me	VMIP3S0+PP1CS000	parecer+me
q	que	CS	que
falo	falo	VMIP1S0	falar
nessa	nessa	SPS00+DD0FS0	em+esse
bem	bem	RG	bem
portugues	português	NCMS000	português
	,	Fc	,
com	com	SPS00	com
o	o	DA0MS0	o
q	que	PR0CN000	que
fico	fico	VMIP1S0	ficar
dando	dando	VMG0000	dar
ma	mau	AQ0MS0	mau
grado	grado	NCMS000	grado
aos	aos	SPS00+DA0MP0	a+o
medicos	médicos	NCMP000	médico
,	,	Fc	,
e	e	CC	e
m	me	PP1CS000	me
mande	mande	VMSP0S0	mandar
Vm	VM	NP00000	VM
como	como	CS	como
for	for	VMSF0S0	ir
servido	servido	VMP00SM	servir
	,	Fc	,
Cuja	cuja	PU0FS000	cujo
pessoa	pessoa	NCFS000	pessoa
gde	guarde	VMSP0S0	guardar
Ds	Deus	NP00000	deus
	.	Fp	.
de	De	Fp	.
Caza	casa	Fp	.
	,	Fp	.
terça fra	terça-feira	Fp	.
	,	Fp	.
Christovão	Cristóvão	Fp	.
Ltam	Leitão	Fp	.
importame	Importa-me	VMIP3S0+PP1CS000	importar+me
escrever	escrever	VMN0000	escrever
Vm	VM	NP00000	VM
largamente	largamente	RG	largamente
ao	ao	SPS00+DA0MS0	a+o
sor	senhor	NP00000	senhor
V Rei	Vice-Rei	NP00000	vice-rei
da	da	SPS00+DA0FS0	de+o
grande	grande	AQ0CS0	grande
inimisade	inimizade	NCFS000	inimizade
do	do	SPS00+DA0MS0	de+o
Reverendo	reverendo	NCMS000	reverendo
.	.	Fp	.
E	E	CC	e
Se	se	CS	se
eu	eu	PP1CSN00	eu
tivera	tivera	VAIM0S0	ter
servido	servido	VMP0000	servir
a	a	SPS00	a
Vm	VM	NP00000	VM
como	como	CS	como
desejo	desejo	VMIP1S0	desejar
e	e	CC	e
merecido	merecido	VMP0000	merecer
q	que	CS	que
Vm	VM	NP00000	VM
fisese	fizesse	VMSI0S0	fazer
per	por	SPS00	por
mi	mim	PP1CSO00	mim
como	como	CS	como
per	por	SPS00	por
Criado	criado	NCMS000	criado
	,	Fc	,
Me	me	PP1CS000	me
atrevera	atrevera	VMIM0S0	atrever
a	a	SPS00	a
pedir	pedir	VMN0000	pedir
a	a	SPS00	a
Vm	VM	NP00000	VM
q	que	CS	que
	,	Fc	,
per	por	SPS00	por
minha	minha	DP1FSS	meu
honra	honra	NCFS000	honra
	,	Fc	,
me	me	PP1CS000	me
fisese	fizesse	VMSI0S0	fazer
Vm	VM	NP00000	VM
m	mercê	NCFS000	mercê
de	de	SPS00	de
escrever	escrever	VMN0000	escrever
duas	duas	Z	duas
regras	regras	NCFP000	regra
a	a	SPS00	a
Anto	António	NP00000	antónio
de	de	SPS00	de
faria	Faria	NP00000	faria
sobre	sobre	SPS00	sobre
o	o	DA0MS0	o
reverendo	reverendo	NCMS000	reverendo
	,	Fc	,
em	em	SPS00	em
q	que	PR0CN000	que
me	me	PP1CS000	me
vai	vai	VMIP3S0	ir
mto	muito	RQ	muito
	.	Fp	.
