Soó	Só	RF	só
depois	depois	RG	depois
de	de	SPS00	de
ter	ter	VAN0000	ter
escrito	escrito	VMP0000	escrever
me	me	PP1CS000	me
sobreveio	sobreveio	VMIS3S0	sobrevir
hũ	um	DI0MS0	um
escrupulo	escrúpulo	NCMS000	escrúpulo
e	e	CC	e
	,	Fc	,
Como	como	CS	como
he	é	VSIP3S0	ser
couza	coisa	NCFS000	coisa
q	que	PR0CN000	que
toqua	toca	VMIP3S0	tocar
a	à	SPS00+DA0FS0	a+o
fee	fé	NCFS000	fé
	,	Fc	,
me	me	PP1CS000	me
pareseo	pareceu	VMIS3S0	parecer
revelalo	revelá-lo	VMN0000+PP3MSA00	revelar+o
	.	Fp	.
No	No	SPS00+DA0MS0	em+o
auto	auto	NCMS000	auto
da	da	SPS00+DA0FS0	de+o
fee	fé	NCFS000	fé
q	que	PR0CN000	que
se	se	P00CN000	se
fes	fez	VMIS3S0	fazer
antes	antes	RG	antes
do	do	SPS00+DA0MS0	de+o
passado	passado	VMP0000	passar
	,	Fc	,
sahio	saiu	VMIS3S0	sair
hũ	um	DI0MS0	um
villão	vilão	NCMS000	vilão
por	por	SPS00	por
casar	casar	VMN0000	casar
2a	segunda	AO0FS0	segundo
ves	vez	NCFS000	vez
sendo	sendo	VSG0000	ser
viva	viva	AQ0FS0	vivo
a	a	DA0FS0	o
1a	primeira	AO0FS0	primeiro
molher	mulher	NCFS000	mulher
	.	Fp	.
a	A	SPS00	a
elle	ele	PP3MS000	ele
	,	Fc	,
cudo	cuido	VMIP1S0	cuidar
que	que	CS	que
o	o	PP3MSA00	o
chamão	chamam	VMIP3P0	chamar
Bernardo	Bernardo	NP00000	bernardo
	.	Fp	.
he	É	VSIP3S0	ser
natural	natural	AQ0CS0	natural
de	de	SPS00	de
hũ	um	DI0MS0	um
lugar	lugar	NCMS000	lugar
do	do	SPS00+DA0MS0	de+o
alem	além	RG	além
mondego	Mondego	NP00000	mondego
	.	Fp	.
casou	Casou	VMIS3S0	casar
neste	neste	SPS00+DD0MS0	em+este
lugar	lugar	NCMS000	lugar
	.	Fp	.
sahio	Saiu	VMIS3S0	sair
penitensseado	penitenciado	VMP00SM	penitenciar
cõ	com	SPS00	com
degredo	degredo	NCMS000	degredo
	.	Fp	.
fugio	Fugiu	VMIS3S0	fugir
delle	dele	SPS00+PP3MS000	de+ele
	.	Fp	.
a	A	DA0FS0	o
molher	mulher	NCFS000	mulher
2a	segunda	AO0FS0	segundo
	,	Fc	,
de	de	SPS00	de
que	que	PR0CN000	que
tinha	tinha	VMII0S0	ter
hũ	um	DI0MS0	um
fo	filho	NCMS000	filho
	,	Fc	,
se	se	P00CN000	se
veio	veio	VMIS3S0	vir
pa	para	SPS00	para
este	este	DD0MS0	este
lugar	lugar	NCMS000	lugar
donde	onde	PA000000	onde
	,	Fc	,
as	às	SPS00+DA0FS0	a+o
furtades	furtadas	VMP00PF	furtar
	,	Fc	,
ambos	ambos	PI0MP000	ambos
fizerão	fizeram	VMIS3P0	fazer
2o	segundo	AO0MS0	segundo
	.	Fp	.
como	Como	CS	como
este	este	DD0MS0	este
sbrdto	sobredito	VMP00SM	sobredizer
era	era	VSII0S0	ser
cardador	cardador	NCMS000	cardador
	,	Fc	,
vinhaa	vinha-a	VMII0S0+PP3FSA00	vir+o
ha	a	PP3FSA00	o
ver	ver	VMN0000	ver
	.	Fp	.
eo	Eu	PP1CSN00	eu
	,	Fc	,
q	que	PR0CN000	que
querendo	querendo	VMG0000	querer
na	na	SPS00+DA0FS0	em+o
visita	visita	NCFS000	visita
deste	deste	SPS00+DD0MS0	de+este
anno	ano	NCMS000	ano
entender	entender	VMN0000	entender
cõ	com	SPS00	com
ella	ela	PP3FS000	ele
	,	Fc	,
tanto	tanto	CC	tanto
q	que	CS	que
o	o	DA0MS0	o
cardador	cardador	NCMS000	cardador
o	o	PP3MSA00	o
soube	soube	VMIS3S0	saber
	,	Fc	,
veio	veio	VMIS3S0	vir
huã	uma	DI0FS0	um
noite	noite	NCFS000	noite
e	e	CC	e
a	a	PP3FSA00	o
levou	levou	VMIS3S0	levar
	,	Fc	,
e	e	CC	e
os	os	DA0MP0	o
2	2	Z	2
filhos	filhos	NCMP000	filho
	.	Fp	.
vm	VM	NP00000	VM
me	me	PP1CS000	me
tire	tire	VMSP0S0	tirar
deste	deste	SPS00+DD0MS0	de+este
escrupulo	escrúpulo	NCMS000	escrúpulo
revelando	revelando	VMG0000	revelar
isto	isto	PD0NN000	isto
aos	aos	SPS00+DA0MP0	a+o
sor	Senhores	NP00000	senhores
inquisidores	Inquisidores	NP00000	inquisidores
	,	Fc	,
que	que	CS	que
o	o	DA0MS0	o
certo	certo	AQ0MS0	certo
he	é	VSIP3S0	ser
q	que	CS	que
	,	Fc	,
aonde	onde	PA000000	onde
quer	quer	VMIP3S0	querer
q	que	CS	que
estão	estão	VMIP3P0	estar
	,	Fc	,
estão	estão	VMIP3P0	estar
cohabitando	coabitando	VMG0000	coabitar
	,	Fc	,
e	e	CC	e
isto	isto	PD0NN000	isto
em	em	SPS00	em
fraude	fraude	NCFS000	fraude
do	do	SPS00+DA0MS0	de+o
1o	primeiro	AO0MS0	primeiro
matrimonio	matrimónio	NCMS000	matrimónio
e	e	CC	e
da	da	SPS00+DA0FS0	de+o
sentenssa	sentença	NCFS000	sentença
do	do	SPS00+DA0MS0	de+o
sto	Santo	NP00000	santo
officio	Ofício	NP00000	ofício
	.	Fp	.
