esta	Esta	PD0FS000	este
não	não	RN	não
serve	serve	VMIP3S0	servir
mais	mais	RC	mais
q	que	CS	que
de	de	SPS00	de
avizar	avisar	VMN0000	avisar
a	a	SPS00	a
Vm	VM	NP00000	VM
de	de	SPS00	de
q	que	PR0CN000	que
anteontem	anteontem	RG	anteontem
se	se	P00CN000	se
pasou	passou	VMIS3S0	passar
decreto	decreto	NCMS000	decreto
por	por	SPS00	por
el Rei	El-Rei	NP00000	el-rei
Contra	contra	SPS00	contra
o	o	DA0MS0	o
sogeito	sujeito	NCMS000	sujeito
do	do	SPS00+DA0MS0	de+o
porto	Porto	NP00000	porto
	,	Fc	,
porq	porque	CS	porque
esta	está	VMIP3S0	estar
qua	cá	RG	cá
publiqua	pública	AQ0FS0	público
a	a	DA0FS0	o
sua	sua	DP3FS0	seu
vinda	vinda	NCFS000	vinda
	.	Fp	.
disto	Disto	SPS00+PD0NN000	de+isto
veijo	veio	VMIS3S0	vir
aqui	aqui	RG	aqui
Logo	logo	RG	logo
dar	dar	VMN0000	dar
avizo	aviso	NCMS000	aviso
a	à	SPS00+DA0FS0	a+o
Condeça	condessa	NCFS000	conde
serta	certa	AQ0FS0	certo
pesoa	pessoa	NCFS000	pessoa
de	de	SPS00	de
dentro	dentro	RG	dentro
	,	Fc	,
q	que	PR0CN000	que
não	não	RN	não
nomeyo	nomeio	VMIP1S0	nomear
porq	porque	CS	porque
não	não	RN	não
Comvem	convém	VMIP3S0	convir
	,	Fc	,
mas	mas	CC	mas
Vm	VM	NP00000	VM
bem	bem	RG	bem
emtende	entende	VMIP3S0	entender
quem	quem	PR0CN000	quem
sera	será	VSIF3S0	ser
	,	Fc	,
e	e	CC	e
tomou	tomou	VMIS3S0	tomar
a	a	DA0FS0	o
sua	sua	DP3FS0	seu
conta	conta	NCFS000	conta
de	de	SPS00	de
ser	ser	VSN0000	ser
o	o	DA0MS0	o
decreto	decreto	NCMS000	decreto
.	,	NCMS000	decreto
athe	até	SPS00	até
q	que	CS	que
eu	eu	PP1CSN00	eu
lhe	lhe	PP3CSD00	lhe
mandase	mandasse	VMSI0S0	mandar
proprio	próprio	AQ0MS0	próprio
pa	para	SPS00	para
se	se	P00CN000	se
Retirar	retirar	VMN0000	retirar
	.	Fp	.
eu	Eu	PP1CSN00	eu
o	o	PP3MSA00	o
não	não	RN	não
fis	fiz	VMIS1S0	fazer
porq	porque	CS	porque
me	me	PP1CS000	me
aCho	acho	VMIP1S0	achar
Com	com	SPS00	com
dois	dois	Z	dois
mil	mil	Z	mil
e	e	CC	e
Reis	réis	NCMP000	real
somte	somente	RG	somente
	.	Fp	.
porem	Porém	RG	porém
	,	Fc	,
hoi	foi	VMIS3S0	ir
o	o	DA0MS0	o
avizo	aviso	NCMS000	aviso
o	ao	SPS00+DA0MS0	a+o
porto	Porto	NP00000	porto
pello	pelo	SPS00+DA0MS0	por+o
Correyo	correio	NCMS000	correio
e	e	CC	e
o	o	DA0MS0	o
mesmo	mesmo	AQ0MS0	mesmo
fasa	faça	VMSP0S0	fazer
Vm	VM	NP00000	VM
Logo	logo	RG	logo
	,	Fc	,
Logo	logo	RG	logo
a	a	SPS00	a
meu	meu	DP1MSS	meu
tio	tio	NCMS000	tio
	,	Fc	,
pa	para	SPS00	para
q	que	PR0CN000	que
dahi	daí	SPS00+RG	de+aí
lhe	lhe	PP3CSD00	lhe
mande	mande	VMSP0S0	mandar
proprio	próprio	AQ0MS0	próprio
	,	Fc	,
q	que	CS	que
eu	eu	PP1CSN00	eu
o	o	PP3MSA00	o
não	não	RN	não
fis	fiz	VMIS1S0	fazer
La	lá	RG	lá
q	que	CS	que
da	dita	VMP00SF	dizer
Rezão	razão	NCFS000	razão
e	e	CC	e
nisto	nisto	SPS00+PD0NN000	em+isto
não	não	RN	não
aja	haja	VMSP0S0	haver
o	o	DA0MS0	o
menor	menor	AQ0CS0	menor
desCudo	descuido	NCMS000	descuido
	,	Fc	,
porq	porque	CS	porque
aLem	além	RG	além
de	de	SPS00	de
ir	ir	VMN0000	ir
neso	neso	X	x
não	não	RN	não
menos	menos	RC	menos
do	do	SPS00+DA0MS0	de+o
q	que	PR0CN000	que
a	a	DA0FS0	o
sua	sua	DP3FS0	seu
	,	Fc	,
tambem	também	RG	também
a	a	DA0FS0	o
noça	nossa	DP1FSP	nosso
honra	honra	NCFS000	honra
	,	Fc	,
q	que	PR0CN000	que
he	é	VSIP3S0	ser
o	o	DA0MS0	o
mais	mais	RC	mais
bem	bem	RG	bem
	.	Fp	.
podera	Poderá	VMIF3S0	poder
elle	ele	PP3MS000	ele
vir	vir	VMN0000	vir
Com	com	SPS00	com
mais	mais	RC	mais
Cautela	cautela	NCFS000	cautela
e	e	CC	e
Lembrose	lembre-se	VMSP0S0+P00CN000	lembrar+se
dos	dos	SPS00+DA0MP0	de+o
brados	brados	NCMP000	brado
q	que	PR0CN000	que
nesta	nesta	SPS00+DD0FS0	em+este
Corte	corte	NCFS000	corte
o	o	DA0MS0	o
seu	seu	DP3MS0	seu
negco	negócio	NCMS000	negócio
e	e	CC	e
não	não	RN	não
querer	querer	VMN0000	querer
escandelizar	escandalizar	VMN0000	escandalizar
