Meu	Meu		
filho	filho		
todo	todo		
do	do		
meu	meu		
coracão	coração		
	.		
Resevi	Recebi	VMIS1S0	receber
as	as	DA0FP0	o
tuas	tuas	DP2FPS	teu
notisias	notícias	NCFP000	notícia
	,	Fc	,
que	que	PR0CN000	que
mto	muito	RQ	muito
estimei	estimei	VMIS1S0	estimar
	,	Fc	,
mas	mas	CC	mas
senti	senti	VMIS1S0	sentir
mto	muito	RQ	muito
o	o	DA0MS0	o
estares	estares	VMN02S0	estar
doente	doente	AQ0CS0	doente
do	do	SPS00+DA0MS0	de+o
teu	teu	DP2MSS	teu
pe	pé	NCMS000	pé
	.	Fp	.
estimarei	Estimarei	VMIF1S0	estimar
que	que	CS	que
esta	esta	PD0FS000	este
te	te	PP2CS000	te
ache	ache	VMSP0S0	achar
ja	já	RG	já
milhor	melhor	AQ0CS0	melhor
	.	Fp	.
eu	Eu	PP1CSN00	eu
ja	já	RG	já
fico	fico	VMIP1S0	ficar
boa	boa	AQ0FS0	bom
	,	Fc	,
pois	pois	CS	pois
com	com	SPS00	com
as	as	DA0FP0	o
tuas	tuas	DP2FPS	teu
letras	letras	NCFP000	letra
sempre	sempre	RG	sempre
milhoro	melhoro	VMIP1S0	melhorar
	.	Fp	.
menino	Menino	NCMS000	menino
	,	Fc	,
vejo	vejo	VMIP1S0	ver
o	o	DA0MS0	o
que	que	CS	que
na	na	SPS00+DA0FS0	em+o
tua	tua	DP2FSS	teu
carta	carta	NCFS000	carta
me	me	PP1CS000	me
dizes	dizes	VMIP2S0	dizer
do	do	SPS00+DA0MS0	de+o
meu	meu	DP1MSS	meu
capotam	capotão	NCMS00A	capote
	.	Fp	.
eu	Eu	PP1CSN00	eu
	,	Fc	,
athe	até	SPS00	até
agora	agora	RG	agora
	,	Fc	,
ainda	ainda	RG	ainda
não	não	RN	não
o	o	PP3MSA00	o
tenho	tenho	VMIP1S0	ter
	.	Fp	.
o	O	DA0MS0	o
alfaate	alfaiate	NCMS000	alfaiate
esteve	esteve	VMIS3S0	estar
prezo	preso	VMP00SM	prender
	,	Fc	,
mas	mas	CC	mas
ja	já	RG	já
sahiu	saiu	VMIS3S0	sair
e	e	CC	e
heu	eu	PP1CSN00	eu
não	não	RN	não
tive	tive	VMIS1S0	ter
tempo	tempo	NCMS000	tempo
pa	para	SPS00	para
o	o	PP3MSA00	o
embargar	embarcar	VMN0000	embarcar
	.	Fp	.
menino	Menino	NCMS000	menino
	,	Fc	,
vejo	vejo	VMIP1S0	ver
o	o	DA0MS0	o
teu	teu	DP2MSS	teu
cuidado	cuidado	NCMS000	cuidado
que	que	PR0CN000	que
teis	tens	VMIP2S0	ter
com	com	SPS00	com
as	as	DA0FP0	o
minhas	minhas	DP1FPS	meu
couzas	coisas	NCFP000	cousa
	.	Fp	.
não	Não	RN	não
saves	sabes	VMIP2S0	saber
o	o	DA0MS0	o
coanto	quanto	PA000000	quanto
te	te	PP2CS000	te
agradeso	agradeço	VMIP1S0	agradecer
iso	isso	PD0NN000	isso
	.	Fp	.
vejo	Vejo	VMIP1S0	ver
o	o	DA0MS0	o
que	que	CS	que
me	me	PP1CS000	me
dizes	dizes	VMIP2S0	dizer
	,	VMIP2S0	dizer
que	que	CS	que
ja	já	RG	já
teis	tens	VAIP2S0	ter
comprado	comprado	VMP0000	comprar
a	a	DA0FS0	o
chita	chita	NCFS000	o
e	e	CC	e
os	os	DA0MP0	o
sapatos	sapatos	NCMP000	sapato
e	e	CC	e
a	a	DA0FS0	o
droga	droga	NCFS000	o
pa	para	SPS00	para
francisco	Francisco	NP00000	francisco
e	e	CC	e
chapeu	chapéu	NCMS000	chapéu
	.	Fp	.
dezejarei	Desejarei	VMIF1S0	desejar
me	me	PP1CS000	me
mandes	mandes	VMSP2S0	mandar
tudo	tudo	PI0NN000	tudo
pelo	pelo	SPS00+DA0MS0	por+o
coreio	correio	NCMS000	correio
	.	Fp	.
tambem	Também	RG	também
vejo	vejo	VMIP1S0	ver
o	o	DA0MS0	o
dizeresme   	dizeres-me	DA0MS0	o
que	que	CS	que
te	te	PP2CS000	te
mande	mande	VMSP0S0	mandar
dizer	dizer	VMN0000	dizer
de	de	SPS00	de
que	que	CS	que
droga	droga	NCFS000	droga
quero	quero	VMIP1S0	querer
hum	um	DI0MS0	um
bagu	bago	NCMS000	bago
	.	Fp	.
tu	Tu	PP2CSN00	tu
bem	bem	RG	bem
saves	sabes	VMIP2S0	saber
que	que	CS	que
iso	isso	PD0NN000	isso
he	é	VSIP3S0	ser
darte	dar-te	VMN0000+PP2CS000	dar+te
mto	muito	DI0MS0	muito
infado	enfado	NCMS000	enfado
	.	Fp	.
nem	Nem	CC	nem
eu	eu	PP1CSN00	eu
quero	quero	VMIP1S0	querer
que	que	CS	que
tu	tu	PP2CSN00	tu
te	te	PP2CS000	te
infades	enfades	VMSP2S0	enfadar
tanto	tanto	RC	tanto
comigo	comigo	SPS00+PP1CSO00	com+mim
	,	Fc	,
pois	pois	CS	pois
te	te	PP2CS000	te
devo	devo	VMIP1S0	dever
favores	favores	NCMP000	favor
bastantes	bastantes	AQCCP0	bastante
que	que	CS	que
em	em	SPS00	em
todo	todo	DI0MS0	todo
o	o	DA0MS0	o
tempo	tempo	NCMS000	tempo
te	te	PP2CS000	te
estou	estou	VMIP1S0	estar
mto	muito	RQ	muito
obrigada	obrigada	VMP00SF	obrigar
	.	Fp	.
e	E	CC	e
cazo	caso	CS	caso
tu	tu	PP2CSN00	tu
mo	mo	PP1CS000+PP1CSO00	me+mim
queiras	queiras	VMSP2S0	querer
mandar	mandar	VMN0000	mandar
	,	Fc	,
seja	seja	VSSP0S0	ser
como	como	CS	como
tu	tu	PP2CSN00	tu
quizeres	quiseres	VMSF2S0	querer
e	e	CC	e
da	da	SPS00+DA0FS0	de+o
cor	cor	NCFS000	cor
que	que	PR0CN000	que
a	a	SPS00	a
ti	ti	PP2CSO00	ti
te	te	PP2CS000	te
agradar	agradar	VMSF0S0	te
	,	Fc	,
pois	pois	CS	pois
sendo	sendo	VSG0000	ser
de	de	SPS00	de
teu	teu	DP2MSS	teu
gosto	gosto	NCMS000	gosto
tambem	também	RG	também
he	é	VSIP3S0	ser
meu	meu	PX1MS0S0	meu
.	.	Fp	.
vejo	Vejo	VMIP1S0	ver
o	o	DA0MS0	o
que	que	PR0CN000	que
me	me	PP1CS000	me
dizes	dizes	VMIP2S0	dizer
de	de	SPS00	de
silbestre	Silvestre	NP00000	silvestre
coreia	Correia	NP00000	correia
	.	Fp	.
eu	Eu	PP1CSN00	eu
mandei	mandei	VMIS1S0	mandar
saber	saber	VMN0000	saber
se	se	CS	se
ele	ele	PP3MS000	ele
estava	estava	VMII0S0	estar
em	em	SPS00	em
carza	casa	NCFS000	casa
pa	para	SPS00	para
lhe	lhe	PP3CSD00	lhe
hir	ir	VMN0000	ir
falar	falar	VMN0000	falar
e	e	CC	e
me	me	PP1CS000	me
mandou	mandou	VMIS3S0	mandar
dizer	dizer	VMN0000	dizer
a	a	DA0FS0	o
molher	mulher	NCFS000	o
que	que	CS	que
estava	estava	VMII0S0	estar
fora	fora	RG	fora
	.	Fp	.
em	Em	SPS00	em
bindo	vindo	VMG0000	vir
	,	Fc	,
eu	eu	PP1CSN00	eu
la	lá	RG	lá
hirei	irei	VMIF1S0	ir
	.	Fp	.
veremos	Veremos	VMIF1P0	ver
o	o	DA0MS0	o
que	que	PR0CN000	que
ele	ele	PP3MS000	ele
me	me	PP1CS000	me
dis	diz	VMIP3S0	dizer
	.	Fp	.
tambem	Também	RG	também
vejo	vejo	VMIP1S0	ver
o	o	DA0MS0	o
dizeresme   	dizeres-me	DA0MS0	o
como	como	CS	como
estou	estou	VMIP1S0	estar
de	de	SPS00	de
sapatos	sapatos	NCMP000	sapato
	.	Fp	.
os	Os	DA0MP0	o
de	de	SPS00	de
droga	droga	NCFS000	droga
ja	já	RG	já
se	se	P00CN000	se
bam	vão	VMIP3P0	ir
acabando	acabando	VMG0000	acabar
	...	Fs	...
os	Os	DA0MP0	o
houtros	outros	DI0MP0	outro
	,	Fc	,
tenhoos	tenho-os	VMIP1S0+PP3MPA00	ter+o
mto	muito	RQ	muito
goardados	guardados	VMP00PM	guardar
so	só	RF	só
pa	para	SPS00	para
os	os	DA0MP0	o
dias	dias	NCMP000	dia
que	que	PR0CN000	que
me	me	PP1CS000	me
mandastes	mandastes	VMIS2S0	mandar
dizer	dizer	VMN0000	dizer
	.	Fp	.
se	Se	CS	se
	,	Fc	,
para	para	SPS00	para
o	o	DA0MS0	o
coreio	correio	NCMS000	correio
que	que	PR0CN000	que
bem	vem	VMIP3S0	vir
pa	para	SPS00	para
daqui	daqui	SPS00+RG	de+aqui
a	a	SPS00	a
hoito	oito	Z	oito
dias	dias	NCMP000	dia
	,	Fc	,
me	me	PP1CS000	me
poderes	puderes	VMSF2S0	poder
mandar	mandar	VMN0000	mandar
fazer	fazer	VMN0000	fazer
hum	um	DI0MS0	um
par	par	NCMS000	par
deles	deles	SPS00+PP3MP000	de+ele
de	de	SPS00	de
filer	filé	NCMS000	filé
baranco	branco	AQ0MS0	branco
	,	Fc	,
pois	pois	CS	pois
os	os	DA0MP0	o
de	de	SPS00	de
droga	droga	NCFS000	droga
não	não	RN	não
duram	duram	VMIP3P0	durar
nada	nada	PI0NN00N	nada
	.	Fp	.
isto	Isto	PD0NN000	isto
he	é	VSIP3S0	ser
se	se	CS	se
tu	tu	PP2CSN00	tu
poderes	puderes	VMSF2S0	poder
	,	Fc	,
senão	senão	CC	senão
não	não	RN	não
os	os	PP3MPA00	o
quero	quero	VMIP1S0	querer
	!	Fa	!
tu	Tu	PP2CSN00	tu
perdoa	perdoa	VMIP3S0	perdoar
tantas	tantas	DI0FP0	tanto
empertinencias	impertinências	NCFP000	impertinência
	,	Fc	,
mas	mas	CC	mas
como	como	CS	como
eu	eu	PP1CSN00	eu
conheso	conheço	VMIP1S0	conhecer
a	a	DA0FS0	o
tua	tua	DP2FSS	teu
bomtade	vontade	NCFS000	vontade
	,	Fc	,
por	por	SPS00	por
iso	isso	PD0NN000	isso
he	é	VSIP3S0	ser
que	que	CS	que
te	te	PP2CS000	te
infado	enfado	VMIP1S0	enfadar
tanto	tanto	RC	tanto
.	.	Fp	.
saveras	Saberás	VMIF2S0	saber
que	que	CS	que
os	os	DA0MP0	o
papeis	papéis	NCMP000	papel
de	de	SPS00	de
minha	minha	DP1FSS	meu
mai	mãe	NCFS000	mãe
ainda	ainda	RG	ainda
não	não	RN	não
estam	estão	VMIP3P0	estar
nos	nos	SPS00+DA0MP0	em+o
termo	termo	NCMS000	termo
de	de	SPS00	de
hirem	irem	VMII3P0	ir
	.	Fp	.
veremos	Veremos	VMIF1P0	ver
pa	para	SPS00	para
o	o	DA0MS0	o
coreio	correio	NCMS000	correio
se	se	P00CN000	se
bam	vão	VMIP3P0	ir
	.	Fp	.
aseita	Aceita	VMM02S0	aceitar
vezitas	visitas	NCFP000	visita
de	de	SPS00	de
todos	todos	DI0MP0	todo
os	os	DA0MP0	o
de	de	SPS00	de
caza	casa	NCFS000	casa
e	e	CC	e
tambem	também	RG	também
de	de	SPS00	de
minha	minha	DP1FSS	meu
mai	mãe	NCFS000	mãe
	.	Fp	.
e	E	CC	e
mtos	muitos	DI0MP0	muito
abrasos	abraços	NCMP000	abraço
de	de	SPS00	de
francisco	Francisco	NP00000	francisco
e	e	CC	e
da	da	SPS00+DA0FS0	de+o
menina	menina	NCFS000	menino
que	que	PR0CN000	que
tu	tu	PP2CSN00	tu
saves	sabes	VMIP2S0	saber
e	e	CC	e
de	de	SPS00	de
minha	minha	DP1FSS	meu
irmam	irmã	NP00000	irmã
	,	Fc	,
tambem	também	RG	também
te	te	PP2CS000	te
manda	manda	VMIP3S0	mandar
mtos	muitos	DI0MP0	muito
abrasos	abraços	NCMP000	abraço
	.	Fp	.
ca	Cá	RG	cá
resevemos	recebemos	VMIS1P0	receber
o	o	DA0MS0	o
queigo	queijo	NCMS000	queijo
	,	Fc	,
hera	era	VSII0S0	ser
bem	bem	RG	bem
bom	bom	AQ0MS0	bom
	!	Fa	!
sempre	Sempre	RG	sempre
hes	és	VSIP2S0	ser
meu	meu	DP1MSS	meu
amigo	amigo	NCMS000	amigo
	!	Fa	!
não	Não	RN	não
te	te	PP2CS000	te
descuides	descuides	VMSP2S0	descuidar
do	do	SPS00+DA0MS0	de+o
lacre	lacre	NCMS000	lacre
	,	Fc	,
pois	pois	CS	pois
o	o	PP3MSA00	o
